id,channel_id,book_type,book_id,count,start_at,created_at,updated_at
645e06c8-6ac9-45e5-8ad6-4d7189955b8c,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,502,15,2020-10-01 7:00:00,2020-10-01 7:00:00,2020-10-01 7:00:00
8152e598-caa6-4a5b-93ee-d271019bbacc,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,500,16,2020-10-16 7:00:00,2020-10-16 7:00:00,2020-10-16 7:00:00
acdef83c-22a0-420a-b576-0c0182582fd4,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,54185,30,2020-11-01 7:00:00,2020-11-01 7:00:00,2020-11-01 7:00:00
1c5c7034-b170-4a52-8709-7483d03bc215,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,56033,31,2020-12-01 7:00:00,2020-12-01 7:00:00,2020-12-01 7:00:00
893c0257-bbd1-45c2-9241-70a26a20b228,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,58165,59,2021-01-01 7:00:00,2021-01-01 7:00:00,2021-01-01 7:00:00
ea88f807-041e-4ea0-8106-e8028676e8fe,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,53181,31,2021-03-01 7:00:00,2021-03-01 7:00:00,2021-03-01 7:00:00
ef8451e4-2675-4933-ab7d-c2be7b88cd77,15ed0c75-553b-4b97-a142-9fb58f890883,AozoraBook,49865,30,2019-11-01 21:00:00,2019-11-01 21:00:00,2019-11-01 21:00:00
e1249a13-7e87-4df0-b306-f37889ba6912,15ed0c75-553b-4b97-a142-9fb58f890883,AozoraBook,260,30,2019-04-01 21:00:00,2019-04-01 21:00:00,2019-04-01 21:00:00
8d3e6dec-8e51-428a-a340-c6f906779295,15ed0c75-553b-4b97-a142-9fb58f890883,AozoraBook,1308,30,2019-08-01 21:00:00,2019-08-01 21:00:00,2019-08-01 21:00:00
88ad0b89-198d-4c01-ab28-4e1a3387c46d,15ed0c75-553b-4b97-a142-9fb58f890883,AozoraBook,47505,30,2019-09-01 21:00:00,2019-09-01 21:00:00,2019-09-01 21:00:00
7c202341-286b-4d11-8a63-efea3e0a3f71,15ed0c75-553b-4b97-a142-9fb58f890883,AozoraBook,57511,30,2019-06-01 21:00:00,2019-06-01 21:00:00,2019-06-01 21:00:00
70b5ad25-fc97-472d-88c5-f62eee3d5add,15ed0c75-553b-4b97-a142-9fb58f890883,AozoraBook,165,30,2019-10-01 21:00:00,2019-10-01 21:00:00,2019-10-01 21:00:00
340190d1-2177-4b36-b14d-dce02a3d6a27,15ed0c75-553b-4b97-a142-9fb58f890883,AozoraBook,1458,30,2019-07-01 21:00:00,2019-07-01 21:00:00,2019-07-01 21:00:00
17b326ac-05de-429c-83d8-0cd9d0d5281d,15ed0c75-553b-4b97-a142-9fb58f890883,AozoraBook,799,30,2019-05-01 21:00:00,2019-05-01 21:00:00,2019-05-01 21:00:00
